wikidata_id,common_name,scientific_name,wikipedia_title,source_url,mass_kg,lifespan_yr,gestation_days,litter_size,max_speed_mph,conservation_status,pageviews_30d,image_url,image_file_page,image_license,image_attribution
Q159918,Ceratotherium simum,Ceratotherium simum,White rhinoceros,https://en.wikipedia.org/wiki/White_rhinoceros,,,490.0,,,Near Threatened,23736,https://upload.wikimedia.org/wikipedia/commons/0/02/White_Rhino_at_Working_with_Wildlife.jpg,https://commons.wikimedia.org/wiki/File%3AWhite_Rhino_at_Working_with_Wildlife.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:AfricanConservation&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:AfricanConservation (page does not exist)"">AfricanConservation</a> / CC BY-SA 4.0"
Q853294,Patagonian weasel,Lyncodon patagonicus,Patagonian weasel,https://en.wikipedia.org/wiki/Patagonian_weasel,,,,,,Least Concern,476,https://upload.wikimedia.org/wikipedia/commons/9/99/Lyncodon_patagonicus1.jpg,https://commons.wikimedia.org/wiki/File%3ALyncodon_patagonicus1.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Butterfly_voyages"" class=""mw-redirect"" title=""User:Butterfly voyages"">Butterfly voyages</a> - Serge Ouachée / CC BY-SA 3.0"
Q1761644,Pteropus melanotus,Pteropus melanotus,Black-eared flying fox,https://en.wikipedia.org/wiki/Black-eared_flying_fox,,,,,,Vulnerable,221,https://upload.wikimedia.org/wikipedia/commons/e/e9/Pteropus_melanotus_natalis_-_the_Christmas_Island_flying-fox.jpg,https://commons.wikimedia.org/wiki/File%3APteropus_melanotus_natalis_-_the_Christmas_Island_flying-fox.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Welbergen"" title=""User:Welbergen"">Welbergen</a> / CC BY-SA 3.0"
Q1766315,Geoffroy's horseshoe bat,Rhinolophus clivosus,Geoffroy's horseshoe bat,https://en.wikipedia.org/wiki/Geoffroy's_horseshoe_bat,,,,,,Least Concern,103,https://upload.wikimedia.org/wikipedia/commons/2/27/Rhinolophus_clivosus.jpg,https://commons.wikimedia.org/wiki/File%3ARhinolophus_clivosus.jpg,Public domain,Johann Christian Daniel von Schreber / Public domain
Q1761979,Bunny rat,Reithrodon auritus,Bunny rat,https://en.wikipedia.org/wiki/Bunny_rat,0.08,,,4.53,,Least Concern,184,https://upload.wikimedia.org/wikipedia/commons/2/2b/Reithrodon_auritus_203213013.jpg,https://commons.wikimedia.org/wiki/File%3AReithrodon_auritus_203213013.jpg,CC BY 4.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.inaturalist.org/users/4235031"">Ezequiel Racker</a> / CC BY 4.0"
Q786305,Black duiker,Cephalophus niger,Black duiker,https://en.wikipedia.org/wiki/Black_duiker,,,,,,Least Concern,292,https://upload.wikimedia.org/wikipedia/commons/b/b4/Cephalophus_niger.jpg,https://commons.wikimedia.org/wiki/File%3ACephalophus_niger.jpg,CC BY-SA 2.0,ucumari / CC BY-SA 2.0
Q1501278,Saint Lawrence Island shrew,Sorex jacksoni,Saint Lawrence Island shrew,https://en.wikipedia.org/wiki/Saint_Lawrence_Island_shrew,,,,,,Least Concern,264,https://upload.wikimedia.org/wikipedia/commons/f/fe/BairdShrew23.jpg,https://commons.wikimedia.org/wiki/File%3ABairdShrew23.jpg,Public domain,Public domain
Q307099,Talamancan small-eared shrew,Cryptotis gracilis,Talamancan small-eared shrew,https://en.wikipedia.org/wiki/Talamancan_small-eared_shrew,,,,,,Least Concern,36,https://upload.wikimedia.org/wikipedia/commons/f/fe/BairdShrew23.jpg,https://commons.wikimedia.org/wiki/File%3ABairdShrew23.jpg,Public domain,Public domain
Q913765,Northern pig-tailed macaque,Macaca leonina,Northern pig-tailed macaque,https://en.wikipedia.org/wiki/Northern_pig-tailed_macaque,,,,,,Vulnerable,963,https://upload.wikimedia.org/wikipedia/commons/9/96/Macaca_leonina_mother_with_baby_-_Khao_Yai.jpg,https://commons.wikimedia.org/wiki/File%3AMacaca_leonina_mother_with_baby_-_Khao_Yai.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:JJ_Harrison"" title=""User:JJ Harrison"">JJ Harrison</a> (<a rel=""nofollow"" class=""external free"" href=""https://www.jjharrison.com.au/"">https://www.jjharrison.com.au/</a>) / CC BY-SA 3.0"
Q853358,Soemmerring's gazelle,Nanger soemmerringii,Soemmerring's gazelle,https://en.wikipedia.org/wiki/Soemmerring's_gazelle,,,,,,Vulnerable,715,https://upload.wikimedia.org/wikipedia/commons/9/99/Parc_national_de_Yangudi_Rassa-Gazelle_de_Soemmerring_%282%29.jpg,https://commons.wikimedia.org/wiki/File%3AParc_national_de_Yangudi_Rassa-Gazelle_de_Soemmerring_%282%29.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Ji-Elle"" title=""User:Ji-Elle"">Ji-Elle</a> / CC BY-SA 3.0"
Q1831282,Sierra Leone Free-tailed Bat,Mops brachypterus,Sierra Leone free-tailed bat,https://en.wikipedia.org/wiki/Sierra_Leone_free-tailed_bat,,,,,,Least Concern,31,https://upload.wikimedia.org/wikipedia/commons/e/ee/M._brachypterus.jpg,https://commons.wikimedia.org/wiki/File%3AM._brachypterus.jpg,Public domain,George Edward Dobson / Public domain
Q306340,Hipposideros turpis,Hipposideros turpis,Lesser great leaf-nosed bat,https://en.wikipedia.org/wiki/Lesser_great_leaf-nosed_bat,,,,,,Endangered,79,https://upload.wikimedia.org/wikipedia/commons/4/41/Naturalis_Biodiversity_Center_-_RMNH.MAM.33140.b_ven_-_Hipposideros_turpis_-_skin.jpeg,https://commons.wikimedia.org/wiki/File%3ANaturalis_Biodiversity_Center_-_RMNH.MAM.33140.b_ven_-_Hipposideros_turpis_-_skin.jpeg,CC0,"<bdi><a href=""https://en.wikipedia.org/wiki/en:Naturalis_Biodiversity_Center"" class=""extiw"" title=""w:en:Naturalis Biodiversity Center""><span title=""natural history museum and research center in the Leiden, The Netherlands"">Naturalis Biodiversity Center</span></a>
</bdi> / CC0"
Q533063,Bridled nail-tail wallaby,Onychogalea fraenata,Bridled nail-tail wallaby,https://en.wikipedia.org/wiki/Bridled_nail-tail_wallaby,,,,,,Vulnerable,409,https://upload.wikimedia.org/wikipedia/commons/3/3d/Bridled_nailtail_wallaby-female-01.JPG,https://commons.wikimedia.org/wiki/File%3ABridled_nailtail_wallaby-female-01.JPG,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:DiverDave"" title=""User:DiverDave"">DiverDave</a> / CC BY-SA 3.0"
Q284104,Golden langur,Trachypithecus geei,Gee's golden langur,https://en.wikipedia.org/wiki/Gee's_golden_langur,,,,,,Endangered,7398,https://upload.wikimedia.org/wikipedia/commons/b/bd/Golden_langur.jpg,https://commons.wikimedia.org/wiki/File%3AGolden_langur.jpg,CC BY-SA 2.5,"The original uploader was <a href=""https://en.wikipedia.org/wiki/User:Amartyabag"" class=""extiw"" title=""wikipedia:User:Amartyabag"">Amartyabag</a> at <a href=""https://en.wikipedia.org/wiki/"" class=""extiw"" title=""wikipedia:"">English Wikipedia</a>. / CC BY-SA 2.5"
Q1869203,Dendrolagus mayri,Dendrolagus mayri,Wondiwoi tree-kangaroo,https://en.wikipedia.org/wiki/Wondiwoi_tree-kangaroo,,,,,,Critically Endangered,1803,https://upload.wikimedia.org/wikipedia/commons/3/3c/1939.2931_Skin_Dorsal_Skins-1_MG_1492-S.jpg,https://commons.wikimedia.org/wiki/File%3A1939.2931_Skin_Dorsal_Skins-1_MG_1492-S.jpg,CC BY 4.0,"Rothschild and Dollman, 1933 / CC BY 4.0"
Q305369,Ansell's shrew,Crocidura ansellorum,Ansell's shrew,https://en.wikipedia.org/wiki/Ansell's_shrew,,,,,,Endangered,45,https://upload.wikimedia.org/wikipedia/commons/4/45/Myosorex_varius.png,https://commons.wikimedia.org/wiki/File%3AMyosorex_varius.png,CC BY 2.0,A. Robers / CC BY 2.0
Q35255,cougar,Puma concolor,Cougar,https://en.wikipedia.org/wiki/Cougar,,,94.0,,,Least Concern,80911,https://upload.wikimedia.org/wikipedia/commons/d/d6/Mountain_Lion_in_Glacier_National_Park.jpg,https://commons.wikimedia.org/wiki/File%3AMountain_Lion_in_Glacier_National_Park.jpg,Public domain,National Park Service / Public domain
Q25401163,Rattus detentus,Rattus detentus,Manus Island spiny rat,https://en.wikipedia.org/wiki/Manus_Island_spiny_rat,,,,,,Critically Endangered,63,https://upload.wikimedia.org/wikipedia/commons/6/67/Rat_diabetic.jpg,https://commons.wikimedia.org/wiki/File%3ARat_diabetic.jpg,CC BY-SA 3.0,Joanna Servaes / CC BY-SA 3.0
Q212185,wood mouse,Apodemus sylvaticus,Wood mouse,https://en.wikipedia.org/wiki/Wood_mouse,,,,,,Least Concern,4449,https://upload.wikimedia.org/wikipedia/commons/1/11/ApodemusSylvaticus.jpg,https://commons.wikimedia.org/wiki/File%3AApodemusSylvaticus.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Fice"" title=""User:Fice"">Christian Fischer</a> / CC BY-SA 4.0"
Q626027,Crabeater seal,Lobodon carcinophaga,Crabeater seal,https://en.wikipedia.org/wiki/Crabeater_seal,,,334.8125,,,Least Concern,6689,https://upload.wikimedia.org/wikipedia/commons/0/00/Crabeater_Seal_in_Pl%C3%A9neau_Bay%2C_Antarctica_%286059168728%29.jpg,https://commons.wikimedia.org/wiki/File%3ACrabeater_Seal_in_Pl%C3%A9neau_Bay%2C_Antarctica_%286059168728%29.jpg,CC BY-SA 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/59222181@N03"">Liam Quinn</a> from Canada / CC BY-SA 2.0"
Q3294199,Coiban mastiff bat,Molossus coibensis,Coiban mastiff bat,https://en.wikipedia.org/wiki/Coiban_mastiff_bat,,,,,,Least Concern,32,https://upload.wikimedia.org/wikipedia/commons/1/1c/Bat_%28PSF%29.jpg,https://commons.wikimedia.org/wiki/File%3ABat_%28PSF%29.jpg,Public domain,"<a href=""https://en.wikipedia.org/wiki/Pearson_Scott_Foresman"" class=""extiw"" title=""en:Pearson Scott Foresman"">Pearson Scott Foresman</a> / Public domain"
Q843594,Bay duiker,Cephalophus dorsalis,Bay duiker,https://en.wikipedia.org/wiki/Bay_duiker,,,266.328125,,,Near Threatened,1091,https://upload.wikimedia.org/wikipedia/commons/9/91/Cephalophus_dorsalis.JPG,https://commons.wikimedia.org/wiki/File%3ACephalophus_dorsalis.JPG,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Lyse&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Lyse (page does not exist)"">Lyse Primault</a> / CC BY-SA 3.0"
Q1365651,White-thighed surili,Presbytis siamensis,White-thighed surili,https://en.wikipedia.org/wiki/White-thighed_surili,,,,,,Near Threatened,257,https://upload.wikimedia.org/wikipedia/commons/7/7a/Presbytis_siamensis.jpg,https://commons.wikimedia.org/wiki/File%3APresbytis_siamensis.jpg,CC BY-SA 4.0,thibaudaronson / CC BY-SA 4.0
Q153608,Bailey's pocket mouse,Chaetodipus baileyi,Bailey's pocket mouse,https://en.wikipedia.org/wiki/Bailey's_pocket_mouse,,,,,,Least Concern,175,https://upload.wikimedia.org/wikipedia/commons/2/23/Chaetodipus_baileyi.jpg,https://commons.wikimedia.org/wiki/File%3AChaetodipus_baileyi.jpg,Public domain,United States National Park Service / Public domain
Q209141,Grizzled tree-kangaroo,Dendrolagus inustus,Grizzled tree-kangaroo,https://en.wikipedia.org/wiki/Grizzled_tree-kangaroo,,,,,,Vulnerable,789,https://upload.wikimedia.org/wikipedia/commons/5/55/Dendrolague.jpg,https://commons.wikimedia.org/wiki/File%3ADendrolague.jpg,Public domain,"<bdi><a href=""https://en.wikipedia.org/wiki/en:John_Gould"" class=""extiw"" title=""w:en:John Gould""><span title=""English ornithologist (1804–1881)"">John Gould</span></a></bdi> / Public domain"
Q779066,Pinyon mouse,Peromyscus truei,Pinyon mouse,https://en.wikipedia.org/wiki/Pinyon_mouse,,,,3.4,,Least Concern,158,https://upload.wikimedia.org/wikipedia/commons/8/81/Pinyon_mouse.jpg,https://commons.wikimedia.org/wiki/File%3APinyon_mouse.jpg,Public domain,NPS photo by Sally King / Public domain
Q1209794,Lepilemur seali,Lepilemur seali,Seal's sportive lemur,https://en.wikipedia.org/wiki/Seal's_sportive_lemur,,,,,,Vulnerable,95,https://upload.wikimedia.org/wikipedia/commons/e/e4/Lepilemur_seali.jpg,https://commons.wikimedia.org/wiki/File%3ALepilemur_seali.jpg,CC BY 4.0,Rob Foster / CC BY 4.0
Q370965,Kitti's hog-nosed bat,Craseonycteris thonglongyai,Kitti's hog-nosed bat,https://en.wikipedia.org/wiki/Kitti's_hog-nosed_bat,,,,,,Near Threatened,8062,https://upload.wikimedia.org/wikipedia/commons/5/5a/Craseonycteris_thonglongyai.png,https://commons.wikimedia.org/wiki/File%3ACraseonycteris_thonglongyai.png,CC BY 4.0,"Sébastien J. Puechmaille1,*, Pipat Soisook2, Medhi Yokubol2, Piyathip Piyapan2,Meriadeg Ar Gouilh3, 4, Khin Mie Mie5, Khin Khin Kyaw5, Iain Mackie6,Sara Bumrungsri2, Ariya Dejtaradol2, Tin Nwe5, Si Si Hla Bu7, Chutamas Satasook2,Paul J. Bates8, Emma C. Teeling1, / CC BY 4.0"
Q755719,Giant armadillo,Priodontes maximus,Giant armadillo,https://en.wikipedia.org/wiki/Giant_armadillo,0.113,,121.75,1.0,,Vulnerable,4981,https://upload.wikimedia.org/wikipedia/commons/0/06/Priodontes_maximus_at_R%C3%A9gina.jpg,https://commons.wikimedia.org/wiki/File%3APriodontes_maximus_at_R%C3%A9gina.jpg,CC BY 4.0,Guillaume Delaitre / CC BY 4.0
Q213889,Siamang,Symphalangus syndactylus,Siamang,https://en.wikipedia.org/wiki/Siamang,,,232.0,,,Endangered,6778,https://upload.wikimedia.org/wikipedia/commons/a/ae/Siamang_Tierpark_Hellabrunn-4.jpg,https://commons.wikimedia.org/wiki/File%3ASiamang_Tierpark_Hellabrunn-4.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Rufus46"" title=""User:Rufus46"">Rufus46</a> / CC BY-SA 3.0"
Q109262310,Osphranter bernardus,Osphranter bernardus,Black wallaroo,https://en.wikipedia.org/wiki/Black_wallaroo,,,,,,Near Threatened,1093,https://upload.wikimedia.org/wikipedia/commons/c/c6/Black_Wallaroo_Nourlangie_Rock_in_Kakadu_NP.jpg,https://commons.wikimedia.org/wiki/File%3ABlack_Wallaroo_Nourlangie_Rock_in_Kakadu_NP.jpg,CC BY-SA 2.0,Michael Wifall / CC BY-SA 2.0
Q194756,Southern ningaui,Ningaui yvonneae,Southern ningaui,https://en.wikipedia.org/wiki/Southern_ningaui,,,,,,Least Concern,111,https://upload.wikimedia.org/wikipedia/commons/d/de/Southern_ningaui_captured_in_the_Middleback_Ranges.jpg,https://commons.wikimedia.org/wiki/File%3ASouthern_ningaui_captured_in_the_Middleback_Ranges.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Miss.chelle.13&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Miss.chelle.13 (page does not exist)"">Miss.chelle.13</a> / CC BY-SA 3.0"
Q82037,Okapia johnstoni,Okapia johnstoni,Okapi,https://en.wikipedia.org/wiki/Okapi,250.0,,441.34375,1.0,,Endangered,43936,https://upload.wikimedia.org/wikipedia/commons/3/3a/Saint-Aignan_%28Loir-et-Cher%29._Okapi.jpg,https://commons.wikimedia.org/wiki/File%3ASaint-Aignan_%28Loir-et-Cher%29._Okapi.jpg,CC BY 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/26082117@N07"">Daniel Jolivet</a> / CC BY 2.0"
Q1768922,eastern chestnut mouse,Pseudomys gracilicaudatus,Eastern chestnut mouse,https://en.wikipedia.org/wiki/Eastern_chestnut_mouse,,,,,,Least Concern,129,https://upload.wikimedia.org/wikipedia/commons/6/65/Pseudomys_gracilicaudatus.jpg,https://commons.wikimedia.org/wiki/File%3APseudomys_gracilicaudatus.jpg,CC BY-SA 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/37103729@N02"">Doug Beckers</a> / CC BY-SA 2.0"
Q663728,silvery gibbon,Hylobates moloch,Silvery gibbon,https://en.wikipedia.org/wiki/Silvery_gibbon,,,210.0,,,Endangered,809,https://upload.wikimedia.org/wikipedia/commons/e/e8/Moloch-20210525-Ctb.jpg,https://commons.wikimedia.org/wiki/File%3AMoloch-20210525-Ctb.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Hamas_Fathani&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Hamas Fathani (page does not exist)"">Hamas Fathani</a> / CC BY-SA 4.0"
Q922138,Salt's dik-dik,Madoqua saltiana,Salt's dik-dik,https://en.wikipedia.org/wiki/Salt's_dik-dik,,,,,,Least Concern,696,https://upload.wikimedia.org/wikipedia/commons/8/87/Salts_dik-dik.jpg,https://commons.wikimedia.org/wiki/File%3ASalts_dik-dik.jpg,CC0,"<table border=""3""><tbody><tr><td>
<table border=""0"" cellpadding=""2"" style=""background:#dfd3c7;""><tbody><tr><td>
<p>This image was produced by me, David Castor (<a href=""//commons.wikimedia.org/wiki/User:Dcastor"" title=""User:Dcastor"">user:dcastor</a>). The pictures I submit to the Wikipedia Project are released to the public domain. This gives you the right to use them in any way you like, without any kind of notification. This said, I would still appreciate to be mentioned as the originator whenever you think it complies well with your use of the picture. A <a rel=""nofollow"" class=""external text"" href=""mailto:epost@pastorcastor.se"">message</a> to me  about how it has been used would also be welcome. You are obviously not required to respond to these wishes of mine, just in a friendly manner encouraged to. (All my photos are placed in <a href=""//commons.wikimedia.org/wiki/Category:Images_by_David_Castor"" title=""Category:Images by David Castor"">Category:Images by David Castor</a> or a subcategory thereof.)
</p>
</td><td>
<p><span typeof=""mw:File""><a href=""//commons.wikimedia.org/wiki/File:David_Castor_Wikimedia.jpg"" class=""mw-file-description""><img src=""https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/David_Castor_Wikimedia.jpg/250px-David_Castor_Wikimedia.jpg"" decoding=""async"" width=""170"" height=""128"" class=""mw-file-element"" srcset=""https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/David_Castor_Wikimedia.jpg/330px-David_Castor_Wikimedia.jpg 1.5x, https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/David_Castor_Wikimedia.jpg/500px-David_Castor_Wikimedia.jpg 2x"" data-file-width=""3081"" data-file-height=""2325""></a></span>
</p>
</td></tr></tbody></table>
</td></tr></tbody></table> / CC0"
