wikidata_id,scientific_name,wikipedia_title,source_url,mass_kg,lifespan_yr,gestation_days,litter_size,population_grp_size,max_speed_mph,hibernation_b,migration_b,continent,conservation_status,pageviews_30d,sound_url,image_url,image_file_page,image_license,image_attribution
Q386974,Mus minutoides,African pygmy mouse,https://en.wikipedia.org/wiki/African_pygmy_mouse,0.006,3.1,20.7,4.18,,,0,0,Africa,Least Concern,980,,https://upload.wikimedia.org/wikipedia/commons/6/66/Mus_minutoides00.jpg,https://commons.wikimedia.org/wiki/File%3AMus_minutoides00.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Alouise_Lynch&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Alouise Lynch (page does not exist)"">Alouise Lynch</a> / CC BY-SA 4.0"
Q559044,Paradoxurus zeylonensis,Golden palm civet,https://en.wikipedia.org/wiki/Golden_palm_civet,2.8,,,2.5,,,,0,Asia,Least Concern,978,,https://upload.wikimedia.org/wikipedia/commons/7/77/Paradoxurus_zeylonensis.jpg,https://commons.wikimedia.org/wiki/File%3AParadoxurus_zeylonensis.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Kalyanvarma"" title=""User:Kalyanvarma"">Kalyanvarma</a> / CC BY-SA 3.0"
Q585189,Cebus capucinus,Colombian white-faced capuchin,https://en.wikipedia.org/wiki/Colombian_white-faced_capuchin,3,54.8,161.1,1.01,,,0,0,,Vulnerable,976,,https://upload.wikimedia.org/wikipedia/commons/a/a4/Cebus_capucinus_at_the_Bronx_Zoo_001.jpg,https://commons.wikimedia.org/wiki/File%3ACebus_capucinus_at_the_Bronx_Zoo_001.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Postdlf"" title=""User:Postdlf"">Postdlf</a> / CC BY-SA 3.0"
Q608656,Kobus megaceros,Nile lechwe,https://en.wikipedia.org/wiki/Nile_lechwe,85.8,18.7,,,50,,0,1,Africa,Endangered,968,,https://upload.wikimedia.org/wikipedia/commons/8/87/Vodu%C5%A1ka_abok_1_%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File%3AVodu%C5%A1ka_abok_1_%28cropped%29.jpg,CC BY-SA 4.0,"<ul><li><a href=""//commons.wikimedia.org/wiki/File:Vodu%C5%A1ka_abok_1.jpg"" title=""File:Voduška abok 1.jpg"">File:Voduška_abok_1.jpg</a>: <a href=""//commons.wikimedia.org/wiki/User:Karelj"" title=""User:Karelj"">Karelj</a></li>
<li>derivative work: <a href=""//commons.wikimedia.org/wiki/User:The0Quester"" title=""User:The0Quester"">The0Quester</a></li></ul> / CC BY-SA 4.0"
Q775192,Hapalemur aureus,Golden bamboo lemur,https://en.wikipedia.org/wiki/Golden_bamboo_lemur,1.6,,142.5,1.01,4,,0,0,Africa,Critically Endangered,966,,https://upload.wikimedia.org/wikipedia/commons/1/14/Golden_bamboo_lemur_%28Hapalemur_aureus%29.jpg,https://commons.wikimedia.org/wiki/File%3AGolden_bamboo_lemur_%28Hapalemur_aureus%29.jpg,CC BY-SA 4.0,"<bdi><a href=""https://www.wikidata.org/wiki/Q54800218"" class=""extiw"" title=""d:Q54800218""><span title=""Scottish wildlife photographer"">Charles J. Sharp</span></a></bdi> / CC BY-SA 4.0"
Q735968,Herpestes vitticollis,Stripe-necked mongoose,https://en.wikipedia.org/wiki/Stripe-necked_mongoose,2.4,,,2.73,,,0,0,Asia,Least Concern,957,,https://upload.wikimedia.org/wikipedia/commons/4/43/2007-stripe-necked-mongoose.jpg,https://commons.wikimedia.org/wiki/File%3A2007-stripe-necked-mongoose.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Yathin_sk"" title=""User:Yathin sk"">Yathin sk</a> / CC BY-SA 3.0"
Q769957,Bubalus quarlesi,Mountain anoa,https://en.wikipedia.org/wiki/Mountain_anoa,181.7,22.5,295,1,,,0,0,Asia,Endangered,954,,https://upload.wikimedia.org/wikipedia/commons/5/58/Mountain_Anoa_at_Krefeld_Zoo.jpg,https://commons.wikimedia.org/wiki/File%3AMountain_Anoa_at_Krefeld_Zoo.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:BronxZooFan&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:BronxZooFan (page does not exist)"">BronxZooFan</a> / CC BY-SA 4.0"
Q1968383,Herpestes smithii,Ruddy mongoose,https://en.wikipedia.org/wiki/Ruddy_mongoose,1.7,,,2.5,,,0,0,Asia,Least Concern,945,,https://upload.wikimedia.org/wikipedia/commons/7/74/Ruddy-mongoose.jpg,https://commons.wikimedia.org/wiki/File%3ARuddy-mongoose.jpg,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:Kalyanvarma"" title=""User:Kalyanvarma"">Kalyanvarma</a> / CC BY-SA 3.0"
Q504488,Myotis daubentonii,Daubenton's bat,https://en.wikipedia.org/wiki/Daubenton's_bat,0.008,28,55.1,1.21,,,1,0,,Least Concern,945,,https://upload.wikimedia.org/wikipedia/commons/d/de/Myotis_daubentoni01.jpg,https://commons.wikimedia.org/wiki/File%3AMyotis_daubentoni01.jpg,CC BY-SA 2.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/9082612@N05"">Gilles San Martin</a> from Namur, Belgium / CC BY-SA 2.0"
Q724362,Cercopithecus diana,Diana monkey,https://en.wikipedia.org/wiki/Diana_monkey,4.4,37.3,,1.01,24,,0,0,Africa,Endangered,944,,https://upload.wikimedia.org/wikipedia/commons/5/5f/La_Bourbansais_04.jpg,https://commons.wikimedia.org/wiki/File%3ALa_Bourbansais_04.jpg,CC BY 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Abujoy"" title=""User:Abujoy"">Abujoy</a> / CC BY 4.0"
Q205837,Cheirogaleus medius,Fat-tailed dwarf lemur,https://en.wikipedia.org/wiki/Fat-tailed_dwarf_lemur,0.197,19.3,61.8,2.04,1,,1,0,Africa,Vulnerable,944,,https://upload.wikimedia.org/wikipedia/commons/c/c3/Cheirogaleus-medius.jpg,https://commons.wikimedia.org/wiki/File%3ACheirogaleus-medius.jpg,CC BY-SA 2.0,Petra Lahann / CC BY-SA 2.0
Q860603,Callosciurus erythraeus,Pallas's squirrel,https://en.wikipedia.org/wiki/Pallas's_squirrel,0.283,16.1,48,1.94,,,0,0,Asia,Least Concern,943,,https://upload.wikimedia.org/wikipedia/commons/0/09/A_Sciuridae_in_Taipei_4.JPG,https://commons.wikimedia.org/wiki/File%3AA_Sciuridae_in_Taipei_4.JPG,CC BY-SA 3.0,"<a href=""//commons.wikimedia.org/wiki/User:J._Patrick_Fischer"" title=""User:J. Patrick Fischer"">J. Patrick Fischer</a> / CC BY-SA 3.0"
Q666850,Chinchilla chinchilla,Short-tailed chinchilla,https://en.wikipedia.org/wiki/Short-tailed_chinchilla,0.5,10,111,2.5,100,,0,0,South America,Endangered,931,,https://upload.wikimedia.org/wikipedia/commons/f/fe/Chinchilla_brevicaudata.jpg,https://commons.wikimedia.org/wiki/File%3AChinchilla_brevicaudata.jpg,Attribution,"Uploaded by Salix with consent of the author : Jaime E. Jimenez, Laboratorio de Ecología, Universidad de Los Lagos. CHILE <a rel=""nofollow"" class=""external autonumber"" href=""http://tronador.ulagos.cl/jjimenez/"">[1]</a>. / Attribution"
Q288881,Moschus chrysogaster,Alpine musk deer,https://en.wikipedia.org/wiki/Alpine_musk_deer,13.7,,188,1.2,,,0,0,Asia,Endangered,928,,https://upload.wikimedia.org/wikipedia/commons/c/c7/Moschus_chrysogaster.jpg,https://commons.wikimedia.org/wiki/File%3AMoschus_chrysogaster.jpg,Public domain,H. Milne Edwards / Public domain
